title,author,year,editions
The Hobbit,J.R.R. Tolkien,1937,481
The Lord of the Rings,J.R.R. Tolkien,1954,253
The Two Towers,J.R.R. Tolkien,1954,289
The Return of the King,J.R.R. Tolkien,1950,286
The Silmarillion,J.R.R. Tolkien,1977,156
The Fellowship of the Ring,J.R.R. Tolkien,1954,317
The Children of Húrin,J.R.R. Tolkien,2001,59
The Hobbit & The Lord of the Rings [collection/set],J.R.R. Tolkien,1979,27
Unfinished Tales of Númenor and Middle-earth,J.R.R. Tolkien,1980,62
Farmer Giles of Ham,J.R.R. Tolkien,1949,57
The Book of Lost Tales [1/2],J.R.R. Tolkien,1983,38
The Hobbit,Charles Dixon,1990,10
The Father Christmas letters,J.R.R. Tolkien,1976,50
Tree and Leaf,J.R.R. Tolkien,1964,23
Bilbo's Last Song (At the Grey Havens),J.R.R. Tolkien,1974,23
Roverandom,J.R.R. Tolkien,1998,22
The Adventures of Tom Bombadil and Other Verses from the Red Book,J.R.R. Tolkien,1962,17
Tales from the Perilous Realm,J.R.R. Tolkien,1993,27
Beren and Lúthien,J.R.R. Tolkien,2017,22
The Fall of Gondolin,J.R.R. Tolkien,1985,26
The Book of Lost Tales [2/2],J.R.R. Tolkien,1984,22
The Return of the Shadow,J.R.R. Tolkien,1988,14
Smith of Wootton Major,J.R.R. Tolkien,1967,27
The letters of J.R.R. Tolkien,J.R.R. Tolkien,1981,22
The Story of Kullervo,J.R.R. Tolkien,2015,11
"The monsters and the critics, and other essays",J.R.R. Tolkien,1983,13
The War of the Ring,J.R.R. Tolkien,1990,15
Morgoth's Ring,J.R.R. Tolkien,1993,10
The Legend of Sigurd and Gudrún,J.R.R. Tolkien,2009,22
The Fall of Númenor,J.R.R. Tolkien,2022,8
The Shaping of Middle-Earth,J.R.R. Tolkien,1986,15
The Fall of Arthur,J.R.R. Tolkien,2013,13
The Lost Road and Other Writings,J.R.R. Tolkien,1987,10
The Lays of Beleriand,J.R.R. Tolkien,1985,15
The Treason of Isengard,J.R.R. Tolkien,1989,13
The Peoples of Middle-Earth,J.R.R. Tolkien,1996,7
Mr. Bliss,J.R.R. Tolkien,1982,12
The war of the jewels,J.R.R. Tolkien,1994,9
Tolkien On Fairy-stories,J.R.R. Tolkien,2008,3
"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",J.R.R. Tolkien,1975,13
Sauron Defeated,J.R.R. Tolkien,1992,9
Sir Gawain & the Green Knight,J.R.R. Tolkien,1925,20
A Middle English vocabulary,J.R.R. Tolkien,1922,16
Realms of Tolkien - Images of Middle-Earth,J.R.R. Tolkien,1996,5
Beowulf. the monsters and the critics,J.R.R. Tolkien,1936,16
The Nature of Middle-Earth,J.R.R. Tolkien,2021,11
The Tolkien Reader,J.R.R. Tolkien,1966,19
The Lord of the Rings. Appendices,J.R.R. Tolkien,1999,9
"The Book of Lost Tales, Parts One & Two",J.R.R. Tolkien,1984,7
Smith of Wooten Major and Farmer Giles of Ham,J.R.R. Tolkien,1967,18
Beowulf,J.R.R. Tolkien,0,0
Works (Farmer Giles of Ham / Leaf by Niggle / Smith of Wootton Major),J.R.R. Tolkien,1984,10
The Lay of Aotrou and Itroun,J.R.R. Tolkien,2016,7
A Secret Vice,J.R.R. Tolkien,2016,5
Il signore degli anelli,J.R.R. Tolkien,2020,1
Beowulf: A Translation and Commentary,J.R.R. Tolkien,2001,9
Yüzüklerin Efendisi 1,J.R.R. Tolkien,2016,1
